id,name,iso3,geometry,lat,lon,export,import,trans,throughput
port714,Marugame Ko_Japan,JPN,POINT (133.7615702658724 34.2892596803196),34.289259680319596,133.7615702658724,2783551215.7818317,443706545.71957505,8785602.5076431,3236043364.00905
port958,Port Jerome_France,FRA,POINT (0.532279572893152 49.48181288425025),49.481812884250246,0.532279572893152,2775266765.1973763,2459161974.263866,561230308.865182,5795659048.326425
port167,Bremen_Germany,DEU,POINT (8.777095691174901 53.09476545902334),53.094765459023336,8.777095691174901,2774805581.6380897,3358120738.261534,37695911.382423416,6170622231.282047
port137,Beira_Mozambique,MOZ,POINT (34.83983894902818 -19.81107039891208),-19.811070398912076,34.83983894902818,2772038594.0991983,4578778261.436696,270040564.4947575,7620857420.030652
port322,Elevsis_Greece,GRC,POINT (23.53340774317959 38.04219308474212),38.04219308474212,23.533407743179595,2769639990.5012984,1621686846.968364,356231600.1796014,4747558437.649264
port64,Ardalstangen_Norway,NOR,POINT (7.709705946012606 61.23559149594584),61.23559149594584,7.709705946012606,2766623707.481395,2443461772.6926627,0.0,5210085480.174057
port919,Point Noire_Republic of Congo,COG,POINT (11.83585413861118 -4.785478217231056),-4.785478217231056,11.83585413861118,2760955727.657835,5790452650.782145,11809475223.270828,20360883601.710808
port1161,Sao Francisco_Brazil,BRA,POINT (-48.62047395374106 -26.21039500452536),-26.210395004525363,-48.62047395374106,2750130513.141127,7232783108.061793,101305624.24871975,10084219245.451641
port364,Fukuyama_Japan,JPN,POINT (133.4385466724517 34.46287853172986),34.462878531729864,133.4385466724517,2748962611.996266,5403882064.457241,206932.89626031084,8153051609.349767
port139,Belawan_Indonesia,IDN,POINT (98.70736597595845 3.788542709654867),3.7885427096548674,98.70736597595845,2748535765.0671115,2499290764.872937,298400099.5311307,5546226629.471179
port865,Otago_New Zealand,NZL,POINT (170.5614402454941 -45.84907535500466),-45.84907535500466,170.5614402454941,2744405524.568295,492403638.94988674,555056381.1762943,3791865544.694476
port182,Buco_Philippines,PHL,POINT (124.7529469785392 8.517492766730401),8.5174927667304,124.75294697853924,2743077320.7731667,6524693131.236254,913078021.2724434,10180848473.281864
